"player_name","team","gp","min_mpg","orpm","orpm_percentile","drpm","drpm_percentile","rpm","rpm_percentile","wins","wins_percentile","wins_value","wins_value_percentile","salary","salary_percentile","salary_surplus","salary_surplus_percentile","surplus","value"
"Pascal Siakam, PF",TOR,53,35.5,1.52,0.09684684685,1.15,0.06756756757,2.67,0.03378378378,4.76,0.02927927928,12940996.9,0.02927927928,2351839,0.6126126126,1886786.09,0.6126126126,11054210.81,0.002252252252
"Luka Doncic, SG",DAL,54,33.3,3.97,0.01351351351,-0.17,0.4684684685,3.8,0.01126126126,5.85,0.01351351351,15904376.45,0.01351351351,7683360,0.3333333333,6164051.525,0.3333333333,9740324.921,0.004504504505
"Giannis Antetokounmpo, PF",MIL,57,30.9,5.47,0.004504504505,2.5,0.006756756757,7.96,0.002252252252,11.16,0.002252252252,30340656.61,0.002252252252,25842697,0.08558558559,20732559.18,0.08558558559,9608097.43,0.006756756757
"Devonte' Graham, PG",CHA,63,35.1,0.34,0.2815315315,1.08,0.08333333333,1.42,0.1081081081,3.37,0.06081081081,9162008.312,0.06081081081,1416852,0.8468468468,1136683.525,0.8468468468,8025324.786,0.009009009009
"Donte DiVincenzo, SG",MIL,59,23.1,1.67,0.08783783784,1.13,0.07432432432,2.8,0.02927927928,3.63,0.04954954955,9868869.487,0.04954954955,2905800,0.5563063063,2331206.78,0.5563063063,7537662.708,0.01126126126
"Duncan Robinson, SG",MIA,65,30,0.49,0.240990991,0.83,0.1463963964,1.31,0.1171171171,2.99,0.07432432432,8128903.517,0.07432432432,1416852,0.8468468468,1136683.525,0.8468468468,6992219.992,0.01351351351
"Christian Wood, PF",DET,62,21.4,1.2,0.1351351351,1.01,0.0990990991,2.21,0.04954954955,2.81,0.08783783784,7639538.088,0.08783783784,1645357,0.7184684685,1320003.921,0.7184684685,6319534.167,0.01576576577
"Jayson Tatum, PF",BOS,59,34.6,0.66,0.213963964,1.7,0.03378378378,2.36,0.04054054054,4.61,0.03153153153,12533192.38,0.03153153153,7830000,0.3288288288,6281694.915,0.3288288288,6251497.464,0.01801801802
"Bam Adebayo, PF",MIA,65,34.4,-1.13,0.8040540541,2.18,0.01126126126,1.05,0.1486486486,3.05,0.06981981982,8292025.327,0.06981981982,3454080,0.5225225225,2771069.831,0.5225225225,5520955.496,0.02027027027
"Terence Davis, SG",TOR,64,17,2.24,0.0518018018,-0.22,0.490990991,2.02,0.06756756757,2.15,0.1283783784,5845198.181,0.1283783784,898310,0.9166666667,720678.0791,0.9166666667,5124520.102,0.02252252252
"Ben Simmons, PG",PHI,54,35.8,1.64,0.09009009009,0.57,0.2027027027,2.21,0.04954954955,4.23,0.03828828829,11500087.58,0.03828828829,8113930,0.3108108108,6509480.565,0.3108108108,4990607.019,0.02477477477
"Montrezl Harrell, PF",LAC,63,27.8,1.43,0.1013513514,0.49,0.2207207207,1.92,0.07432432432,3.58,0.0518018018,9732934.646,0.0518018018,6000000,0.3783783784,4813559.322,0.3783783784,4919375.324,0.02702702703
"Buddy Hield, SG",SAC,64,32,1.49,0.0990990991,-0.29,0.5225225225,1.19,0.1306306306,3.03,0.07207207207,8237651.39,0.07207207207,4861208,0.4121621622,3899952.181,0.4121621622,4337699.209,0.02927927928
"Jaylen Brown, SG",BOS,50,34,1.24,0.1261261261,0.64,0.1846846847,1.87,0.07882882883,3.28,0.06531531532,8917325.597,0.06531531532,6534829,0.3648648649,5242631.175,0.3648648649,3674694.422,0.03153153153
"Trae Young, PG",ATL,60,35.3,4.22,0.01126126126,-3.12,1,1.1,0.1418918919,3.17,0.06756756757,8618268.946,0.06756756757,6273000,0.3761261261,5032576.271,0.3761261261,3585692.675,0.03378378378
"Dillon Brooks, SG",MEM,65,28.5,-0.06,0.3828828829,0.43,0.2297297297,0.37,0.2657657658,1.78,0.1666666667,4839280.355,0.1666666667,1618520,0.7905405405,1298473.672,0.7905405405,3540806.682,0.03603603604
"Josh Hart, SG",NO,57,27.4,0.42,0.2522522523,0.17,0.3310810811,0.59,0.2117117117,1.76,0.1689189189,4784906.418,0.1689189189,1655160,0.7162162162,1327868.475,0.7162162162,3457037.944,0.03828828829
"Davis Bertans, SF",WSH,54,29.3,2.48,0.04279279279,-0.52,0.6779279279,1.96,0.06981981982,3.33,0.06306306306,9053260.439,0.06306306306,7000000,0.3558558559,5615819.209,0.3558558559,3437441.23,0.04054054054
"Brandon Clarke, SF",MEM,50,21.7,2.34,0.0472972973,-0.77,0.795045045,1.57,0.09684684685,1.98,0.1509009009,5383019.72,0.1509009009,2478840,0.6013513514,1988673.898,0.6013513514,3394345.822,0.04279279279
"John Collins, PF",ATL,41,33.2,0.32,0.2837837838,0.8,0.1531531532,1.13,0.1373873874,2.03,0.1463963964,5518954.562,0.1463963964,2686560,0.5743243243,2155319.322,0.5743243243,3363635.24,0.04504504505
"Lou Williams, SG",LAC,60,29.3,2.57,0.03603603604,-0.67,0.7545045045,1.9,0.07657657658,3.58,0.0518018018,9732934.646,0.0518018018,8000000,0.3153153153,6418079.096,0.3153153153,3314855.55,0.0472972973
"De'Anthony Melton, SG",MEM,52,19.4,1.22,0.1328828829,-0.09,0.4369369369,1.13,0.1373873874,1.53,0.2184684685,4159606.148,0.2184684685,1416852,0.8468468468,1136683.525,0.8468468468,3022922.622,0.04954954955
"Kyle Kuzma, PF",LAL,54,24.6,0.37,0.2725225225,0.38,0.2432432432,0.75,0.1846846847,1.62,0.1936936937,4404288.862,0.1936936937,1974600,0.6666666667,1584142.373,0.6666666667,2820146.489,0.0518018018
"Ben McLemore, SG",HOU,63,22.8,2.23,0.05405405405,-1.65,0.9527027027,0.57,0.2184684685,1.59,0.2027027027,4322727.957,0.2027027027,2028594,0.6509009009,1627459.593,0.6509009009,2695268.364,0.05405405405
"Donovan Mitchell, SG",UTAH,63,34.4,0.43,0.25,-0.03,0.4121621622,0.4,0.2567567568,2.05,0.1441441441,5573328.498,0.1441441441,3635760,0.4932432432,2916824.407,0.4932432432,2656504.092,0.05630630631
"Nerlens Noel, C",OKC,55,18.4,0.31,0.2882882883,0.79,0.1554054054,1.1,0.1418918919,1.43,0.2274774775,3887736.465,0.2274774775,1620564,0.7297297297,1300113.492,0.7297297297,2587622.973,0.05855855856
